parents,hasNursery,Form,Children,Housing,Social,Health,Class,Finance
usual,proper,complete,1,convenient,nonprob,recommended,recommend,convenient
usual,proper,complete,1,convenient,nonprob,priority,priority,convenient
usual,proper,complete,1,convenient,nonprob,not_recom,not_recom,convenient
usual,proper,complete,1,convenient,slightly_prob,recommended,recommend,convenient
usual,proper,complete,1,convenient,slightly_prob,priority,priority,convenient
usual,proper,complete,1,convenient,slightly_prob,not_recom,not_recom,convenient
usual,proper,complete,1,convenient,problematic,recommended,priority,convenient
usual,proper,complete,1,convenient,problematic,priority,priority,convenient
usual,proper,complete,1,convenient,problematic,not_recom,not_recom,convenient
usual,proper,complete,1,convenient,nonprob,recommended,very_recom,inconv
usual,proper,complete,1,convenient,nonprob,priority,priority,inconv
usual,proper,complete,1,convenient,nonprob,not_recom,not_recom,inconv
usual,proper,complete,1,convenient,slightly_prob,recommended,very_recom,inconv
usual,proper,complete,1,convenient,slightly_prob,priority,priority,inconv
usual,proper,complete,1,convenient,slightly_prob,not_recom,not_recom,inconv
usual,proper,complete,1,convenient,problematic,recommended,priority,inconv
usual,proper,complete,1,convenient,problematic,priority,priority,inconv
usual,proper,complete,1,convenient,problematic,not_recom,not_recom,inconv
usual,proper,complete,1,less_conv,nonprob,recommended,very_recom,convenient
usual,proper,complete,1,less_conv,nonprob,priority,priority,convenient
usual,proper,complete,1,less_conv,nonprob,not_recom,not_recom,convenient
usual,proper,complete,1,less_conv,slightly_prob,recommended,very_recom,convenient
usual,proper,complete,1,less_conv,slightly_prob,priority,priority,convenient
usual,proper,complete,1,less_conv,slightly_prob,not_recom,not_recom,convenient
usual,proper,complete,1,less_conv,problematic,recommended,priority,convenient
usual,proper,complete,1,less_conv,problematic,priority,priority,convenient
usual,proper,complete,1,less_conv,problematic,not_recom,not_recom,convenient
usual,proper,complete,1,less_conv,nonprob,recommended,very_recom,inconv
usual,proper,complete,1,less_conv,nonprob,priority,priority,inconv
usual,proper,complete,1,less_conv,nonprob,not_recom,not_recom,inconv
usual,proper,complete,1,less_conv,slightly_prob,recommended,very_recom,inconv
usual,proper,complete,1,less_conv,slightly_prob,priority,priority,inconv
usual,proper,complete,1,less_conv,slightly_prob,not_recom,not_recom,inconv
usual,proper,complete,1,less_conv,problematic,recommended,priority,inconv
usual,proper,complete,1,less_conv,problematic,priority,priority,inconv
usual,proper,complete,1,less_conv,problematic,not_recom,not_recom,inconv
usual,proper,complete,1,critical,nonprob,recommended,very_recom,convenient
usual,proper,complete,1,critical,nonprob,priority,priority,convenient
usual,proper,complete,1,critical,nonprob,not_recom,not_recom,convenient
usual,proper,complete,1,critical,slightly_prob,recommended,very_recom,convenient
usual,proper,complete,1,critical,slightly_prob,priority,priority,convenient
usual,proper,complete,1,critical,slightly_prob,not_recom,not_recom,convenient
usual,proper,complete,1,critical,problematic,recommended,priority,convenient
usual,proper,complete,1,critical,problematic,priority,priority,convenient
usual,proper,complete,1,critical,problematic,not_recom,not_recom,convenient
usual,proper,complete,1,critical,nonprob,recommended,very_recom,inconv
usual,proper,complete,1,critical,nonprob,priority,priority,inconv
usual,proper,complete,1,critical,nonprob,not_recom,not_recom,inconv
usual,proper,complete,1,critical,slightly_prob,recommended,very_recom,inconv
usual,proper,complete,1,critical,slightly_prob,priority,priority,inconv
usual,proper,complete,1,critical,slightly_prob,not_recom,not_recom,inconv
usual,proper,complete,1,critical,problematic,recommended,priority,inconv
usual,proper,complete,1,critical,problematic,priority,priority,inconv
usual,proper,complete,1,critical,problematic,not_recom,not_recom,inconv
usual,proper,complete,2,convenient,nonprob,recommended,very_recom,convenient
usual,proper,complete,2,convenient,nonprob,priority,priority,convenient
usual,proper,complete,2,convenient,nonprob,not_recom,not_recom,convenient
usual,proper,complete,2,convenient,slightly_prob,recommended,very_recom,convenient
usual,proper,complete,2,convenient,slightly_prob,priority,priority,convenient
usual,proper,complete,2,convenient,slightly_prob,not_recom,not_recom,convenient
usual,proper,complete,2,convenient,problematic,recommended,priority,convenient
usual,proper,complete,2,convenient,problematic,priority,priority,convenient
usual,proper,complete,2,convenient,problematic,not_recom,not_recom,convenient
usual,proper,complete,2,convenient,nonprob,recommended,very_recom,inconv
usual,proper,complete,2,convenient,nonprob,priority,priority,inconv
usual,proper,complete,2,convenient,nonprob,not_recom,not_recom,inconv
usual,proper,complete,2,convenient,slightly_prob,recommended,very_recom,inconv
usual,proper,complete,2,convenient,slightly_prob,priority,priority,inconv
usual,proper,complete,2,convenient,slightly_prob,not_recom,not_recom,inconv
usual,proper,complete,2,convenient,problematic,recommended,priority,inconv
usual,proper,complete,2,convenient,problematic,priority,priority,inconv
usual,proper,complete,2,convenient,problematic,not_recom,not_recom,inconv
usual,proper,complete,2,less_conv,nonprob,recommended,very_recom,convenient
usual,proper,complete,2,less_conv,nonprob,priority,priority,convenient
usual,proper,complete,2,less_conv,nonprob,not_recom,not_recom,convenient
usual,proper,complete,2,less_conv,slightly_prob,recommended,very_recom,convenient
usual,proper,complete,2,less_conv,slightly_prob,priority,priority,convenient
usual,proper,complete,2,less_conv,slightly_prob,not_recom,not_recom,convenient
usual,proper,complete,2,less_conv,problematic,recommended,priority,convenient
